title,info,picture,isFake
Gateway,"Gateways, also called protocol converters, can operate at any network layer. The activities of a gateway are more complex than that of the router or switch as it communicates using more than one protocol.",http://grupogateway.com.mx/imagenes/logo-gateway.png,0
PING,Ping is a computer network administration software utility used to test the reachability of a host on an Internet Protocol (IP) network and to measure the round-trip time for messages sent from the originating host to a destination computer and back.,https://en.wikipedia.org/wiki/Ping_%28networking_utility%29#/media/File:Cmd-ping.png,0
CISCO,"Cisco Systems, Inc. is an American multinational technology company headquartered in San Jose, California, that designs, manufactures, and sells networking equipment.[4] The stock was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index.",http://content.ogilvy.edgesuite.net/showcase/facebook_share_icon.jpg,0
Acces Point,"a wireless access point (AP) is a device that allows wireless devices to connect to a wired network using Wi-Fi, or related standards.",http://www.d-link.co.za/image/new/products/DWL-2100AP/DWL-2100AP_RIGHT.png,0
Firewall,"In computing, a firewall is a network security system that monitors and controls the incoming and outgoing network traffic based on predetermined security rules.",http://planetared.com/wp-content/uploads/2009/11/Firewall.jpg,0
Patch Panel,"A patch panel, patch bay, patch field or jack field is a device or unit featuring a number of jacks, usually of the same or similar type, for the use of connecting and routing circuits for monitoring, interconnecting, and testing circuits in a convenient, flexible manner. ",http://www.excel-networking.com/_assets/images/Cat6A_PreTerm_0005.jpg,0
DNS,"The Domain Name System (DNS) is a hierarchical distributed naming system for computers, services, or any resource connected to the Internet or a private network. It associates various information with domain names assigned to each of the participating entities. Most prominently, it translates domain names, which can be easily memorized by humans, to the numerical IP addresses needed for the purpose of computer services and devices worldwide.",http://informaticaensucasa.com/wp-content/uploads/2014/11/DNS.jpg,0
IMAP,Is an Internet standard protocol used by e-mail clients to retrieve e-mail messages from a mail server over a TCP/IP connection,http://www.actualidadgadget.com/wp-content/uploads/2012/06/imap2.jpg,0
RIP,Enhanced Interior Gateway Routing Protocol (EIGRP) is an advanced distance-vector routing protocol that is used on a computer network to help automate routing decisions and configuration.,http://www.orbit-computer-solutions.com/images/rip1.png,1
Subnetting,"Is a logical, visible subdivision of an IP network. The practice of dividing a network into two or more networks is called subnetting.",https://andretobb.files.wordpress.com/2010/11/subnetting.jpg,0
Proxy,"In computer networks, a proxy server is a server (a computer system or an application) that acts as an intermediary for requests from clients seeking resources from other servers.",http://cdn.techgyd.com/free-proxy-server-list-2014.png,0
Mask,"It's the bitmask that when applied by a bitwise AND operation to any IP address in the network, yields the routing prefix. Subnet masks are also expressed in dot-decimal notation like an address. For example, 255.255.255.0 is the network mask for the 192.168.1.0/24 prefix.",http://4.bp.blogspot.com/-dOLwSJx5yBg/UVXn8gG6ubI/AAAAAAAAC7M/HSW8R6QfJHA/s1600/subnet+mask+for+different+ip+classess.png,0
LDAP,"Is an open, vendor-neutral, industry standard application protocol for accessing and maintaining distributed directory information services over an Internet Protocol (IP) network.",http://hat.hexacta.com/wp-content/uploads/2015/01/unnamed.png,0
Domain,"A domain name is an identification string that defines a realm of administrative autonomy, authority or control within the Internet. ",http://au2.uicdn.net/059/1cc1562acf98bda29cfd92fdf278a/webapp/free-domain-name.png,0
Latency,"Latency is a time interval between the stimulation and response, or, from a more general point of view, as a time delay between the cause and the effect of some physical change in the system being observed.[1] Latency is physically a consequence of the limited velocity with which any physical interaction can propagate. This velocity is always lower than or equal to the speed of light.",http://2.bp.blogspot.com/-6sCE78-DVsU/UIIbcJAhJoI/AAAAAAAAHMg/uHRzRvLCzQw/s1600/Screen+shot+2012-10-20+at+12.32.40+AM.png,0
TRACERT,TRACERT determines the route taken to a destination by sending the first echo packet with a TTL of 1 and incrementing by 1 on each transmission until the target responds.,http://cdn9.howtogeek.com/wp-content/uploads/2013/01/image162.png,0
Optical Fiber,"An optical fiber (or optical fibre) is a flexible, transparent fiber made by drawing glass (silica) or plastic to a diameter slightly thicker than that of a human hair.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Fiber_optic_illuminated.jpg/220px-Fiber_optic_illuminated.jpg,0
FTP,"The File Transfer Protocol (FTP) is a standard network protocol used to transfer computer files from one host to another host over a TCP-based network, such as the Internet.",https://en.wikipedia.org/wiki/File_Transfer_Protocol#/media/File:Passive_FTP_Verbindung.svg,0
Network Administrator,"The role of the network administrator can vary significantly depending on an organizations size, location and socio-economic considerations. Some organizations work on a user-to-technical support ratio, whilst others implement many. other strategies.",http://www.remingtoncollege.edu/uploadedImages/Programs/Computer_and_Network_Administration/computer-support-training.jpg,0
Wireshark,"Wireshark is a free and open-source packet analyzer. It is used for network troubleshooting, analysis, software and communications protocol development, and education. Originally named Ethereal, the project was renamed Wireshark in May 2006 due to trademark issues.",http://a.fsdn.com/con/app/proj/wireshark/screenshots/86097.jpg,0
Ports,"In computer hardware, a port serves as an interface between the computer and other computers or peripheral devices. In computer terms, a port generally refers to the female part of connection.",http://www.quecomoquien.es/files/2008/05/switch-ethernet-connection.jpg,0
Sniffer,"Is a program that monitors and analyzes network traffic, detecting bottlenecks and problems. Using this information, a network manager can keep traffic flowing efficiently.",http://docs-legacy.fortinet.com/cb/html/FOS_Cookbook/Install_advanced/images/cb_ts_sniffing_advanced.033.1.1.png,0
